state,value
Maine,0
Kentucky,7.2
Louisiana,8.6
Florida,8
New Jersey,4.6
North Dakota,15.3
New Hampshire,0
Minnesota,3.7
South Carolina,14.2
Oregon,5.2
Wisconsin,6.5
Virginia,4.5
New York,3.3
Ohio,6.8
Texas,10
Mississippi,12
Illinois,6
Hawaii,0
Rhode Island,0
Arkansas,10.5
North Carolina,8
Alaska,0
South Dakota,0
Oklahoma,10.5
Nebraska,6.5
Massachusetts,3.3
Michigan,6.8
Tennessee,8
Alabama,10.3
Utah,0
Indiana,7.2
West Virginia,12.9
Kansas,6
California,4.5
New Mexico,9.1
Vermont,0
Missouri,9.5
Idaho,8.7
Pennsylvania,7.2
Arizona,6.9
Wyoming,17.3
Iowa,5.9
Washington,4
Maryland,5.8
Georgia,5.8
Connecticut,5.9
Delaware,0
Montana,21.4
Nevada,4.6
Colorado,5.6
